,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,Flow and Method,,,,,Load,,,,,,,,,,,,,,,,
9/20/2023,2023,4,2,ST,OUT,K-ST2-04-LC,FALSE,TRUE,FALSE,H,FALSE,0.398,1.25,NA,3.4,8.65,U,NA,NA,NA,NA,NA,NA,1160,3513.333,20890.13,LC,Ruler,Gated Pipe,60 V Trap,8314.272,26112.662,#VALUE!,71026.441,180699.623,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,24232550.57,73393989.36,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300: ""Sample was analyzed outside of the holding time due to laboratory error. Sample results should be considered estimated"""
9/20/2023,2023,4,2,ST,OUT,K-ST2-04-ISC,FALSE,TRUE,FALSE,H,FALSE,0.361,1.37,NA,2.5,8.62,U,NA,NA,NA,NA,NA,NA,1270,2346.667,20890.13,ISC,Ruler,Gated Pipe,60 V Trap,7541.337,28619.478,#VALUE!,52225.325,180072.919,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,26530464.85,49022171.26,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300: ""Sample was analyzed outside of the holding time due to laboratory error. Sample results should be considered estimated"""
9/20/2023,2023,4,2,ST,OUT,K-ST2-04-GB,FALSE,TRUE,FALSE,H,FALSE,0.472,1.31,NA,8.1,8.92,U,NA,NA,NA,NA,NA,NA,1180,4000,20890.13,GB3,Ruler,Gated Pipe,60 V Trap,9860.141,27366.07,#VALUE!,169210.051,186339.958,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,24650353.16,83560519.2,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300: ""Sample was analyzed outside of the holding time due to laboratory error. Sample results should be considered estimated"""
9/20/2023,2023,4,2,ST,OUT,K-ST2-04-GBH,FALSE,TRUE,FALSE,H,FALSE,0.373,0.29,NA,2.9,8.59,U,NA,NA,NA,NA,NA,NA,1210,2643.333,20890.13,GBH,Ruler,Gated Pipe,60 V Trap,7792.018,6058.138,#VALUE!,60581.376,179446.215,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,25277057.06,55219576.44,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300: ""Sample was analyzed outside of the holding time due to laboratory error. Sample results should be considered estimated"""
9/26/2023,2023,5,1,CT,INF,K-INF-05-GB,FALSE,TRUE,FALSE,H,FALSE,U,U,NA,0.67,8.16,U,NA,NA,NA,NA,NA,NA,1280,36.667,NA,GB3,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,CT,INF,K-INF-05-GBH,FALSE,TRUE,FALSE,H,FALSE,U,1.08,NA,0.74,8.07,U,NA,NA,NA,NA,NA,NA,1090,43.333,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,CT,INF,K-INF-05-GBH-D,FALSE,TRUE,TRUE,H,FALSE,U,U,NA,0.83,8.08,U,NA,NA,NA,NA,NA,NA,1130,30,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,INF,K-INF-05-GB,FALSE,TRUE,FALSE,H,FALSE,U,U,NA,0.67,8.16,U,NA,NA,NA,NA,NA,NA,1280,36.667,NA,GB3,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,INF,K-INF-05-GBH,FALSE,TRUE,FALSE,H,FALSE,U,1.08,NA,0.74,8.07,U,NA,NA,NA,NA,NA,NA,1090,43.333,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,INF,K-INF-05-GBH-D,FALSE,TRUE,TRUE,H,FALSE,U,U,NA,0.83,8.08,U,NA,NA,NA,NA,NA,NA,1130,30,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,INF,K-INF-05-GB,FALSE,TRUE,FALSE,H,FALSE,U,U,NA,0.67,8.16,U,NA,NA,NA,NA,NA,NA,1280,36.667,NA,GB3,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,INF,K-INF-05-GBH,FALSE,TRUE,FALSE,H,FALSE,U,1.08,NA,0.74,8.07,U,NA,NA,NA,NA,NA,NA,1090,43.333,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,INF,K-INF-05-GBH-D,FALSE,TRUE,TRUE,H,FALSE,U,U,NA,0.83,8.08,U,NA,NA,NA,NA,NA,NA,1130,30,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,INF,K-INF-05-GB,FALSE,TRUE,FALSE,H,FALSE,U,U,NA,0.67,8.16,U,NA,NA,NA,NA,NA,NA,1280,36.667,NA,GB3,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,INF,K-INF-05-GBH,FALSE,TRUE,FALSE,H,FALSE,U,1.08,NA,0.74,8.07,U,NA,NA,NA,NA,NA,NA,1090,43.333,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,INF,K-INF-05-GBH-D,FALSE,TRUE,TRUE,H,FALSE,U,U,NA,0.83,8.08,U,NA,NA,NA,NA,NA,NA,1130,30,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,INF,K-INF-05-GB,FALSE,TRUE,FALSE,H,FALSE,U,U,NA,0.67,8.16,U,NA,NA,NA,NA,NA,NA,1280,36.667,NA,GB3,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,INF,K-INF-05-GBH,FALSE,TRUE,FALSE,H,FALSE,U,1.08,NA,0.74,8.07,U,NA,NA,NA,NA,NA,NA,1090,43.333,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,INF,K-INF-05-GBH-D,FALSE,TRUE,TRUE,H,FALSE,U,U,NA,0.83,8.08,U,NA,NA,NA,NA,NA,NA,1130,30,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,ST,INF,K-INF-05-GB,FALSE,TRUE,FALSE,H,FALSE,U,U,NA,0.67,8.16,U,NA,NA,NA,NA,NA,NA,1280,36.667,NA,GB3,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,ST,INF,K-INF-05-GBH,FALSE,TRUE,FALSE,H,FALSE,U,1.08,NA,0.74,8.07,U,NA,NA,NA,NA,NA,NA,1090,43.333,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,ST,INF,K-INF-05-GBH-D,FALSE,TRUE,TRUE,H,FALSE,U,U,NA,0.83,8.08,U,NA,NA,NA,NA,NA,NA,1130,30,NA,GBH,GBFM,Gated Pipe,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,CT,OUT,K-CT1-05-LC,FALSE,TRUE,FALSE,H,FALSE,0.389,0.95,NA,1.3,9.06,U,NA,NA,NA,NA,NA,NA,1300,823.333,30266.86,LC,Ruler,Gated Pipe,60 V Trap,11773.807,28753.513,#VALUE!,39346.912,274217.709,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,39346911.89,24919710.86,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,CT,OUT,K-CT1-05-ISC,FALSE,TRUE,FALSE,H,FALSE,0.341,0.914,NA,1.7,8.98,U,NA,NA,NA,NA,NA,NA,1200,513.333,30266.86,ISC,Ruler,Gated Pipe,60 V Trap,10320.998,27663.906,#VALUE!,51453.654,271796.361,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,36320226.36,15536985.72,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,CT,OUT,K-CT1-05-GB,FALSE,TRUE,FALSE,H,FALSE,0.375,0.228,NA,1.2,10.5,U,NA,NA,NA,NA,NA,NA,1250,723.333,30266.86,GB3,Ruler,Gated Pipe,60 V Trap,11350.071,6900.843,#VALUE!,36320.226,317801.981,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,37833569.13,21893025.33,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,CT,OUT,K-CT1-05-GBH,FALSE,TRUE,FALSE,H,FALSE,0.358,0.926,NA,1.3,9.03,U,NA,NA,NA,NA,NA,NA,1230,496.667,30266.86,GBH,Ruler,Gated Pipe,60 V Trap,10835.534,28027.108,#VALUE!,39346.912,273309.703,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,37228232.02,15032538.13,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,OUT,K-MT1-05-LC,FALSE,TRUE,FALSE,H,FALSE,0.335,0.98,NA,2.2,9.6,U,NA,NA,NA,NA,NA,NA,1180,28956.667,36706.6,LC,Ruler,Gated Pipe,60 V Trap,12296.71,35972.466,#VALUE!,80754.515,352383.338,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,43313785.29,1062900714,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,OUT,K-MT1-05-ISC,FALSE,TRUE,FALSE,H,FALSE,0.248,1.44,NA,1.4,9.13,U,NA,NA,NA,NA,NA,NA,1070,5333.333,36706.6,ISC,Ruler,Gated Pipe,60 V Trap,9103.236,52857.501,#VALUE!,51389.237,335131.237,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,39276059.54,195768521.1,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,OUT,K-MT1-05-GB,FALSE,TRUE,FALSE,H,FALSE,0.235,1.04,NA,2.3,9.67,U,NA,NA,NA,NA,NA,NA,1280,1753.333,36706.6,GB3,Ruler,Gated Pipe,60 V Trap,8626.05,38174.862,#VALUE!,84425.175,354952.8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,46984445.06,64358901.3,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,MT,OUT,K-MT1-05-GBH,FALSE,TRUE,FALSE,H,FALSE,0.227,1.24,NA,1.9,8.88,U,NA,NA,NA,NA,NA,NA,1250,2000,36706.6,GBH,Ruler,Gated Pipe,60 V Trap,8332.398,45516.181,#VALUE!,69742.536,325954.588,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,45883247.13,73413195.4,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,OUT,K-ST1-05-LC,FALSE,TRUE,FALSE,H,FALSE,0.209,0.944,NA,1.5,9.08,U,NA,NA,NA,NA,NA,NA,1320,3476.667,45547.39,LC,Ruler,Gated Pipe,60 V Trap,9519.404,42996.733,#VALUE!,68321.081,413570.275,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,60122550.97,158353082.5,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,OUT,K-ST1-05-ISC,FALSE,TRUE,FALSE,H,FALSE,0.142,1.29,NA,1.1,8.92,U,NA,NA,NA,NA,NA,NA,1260,1633.333,45547.39,ISC,Ruler,Gated Pipe,60 V Trap,6467.729,58756.129,#VALUE!,50102.126,406282.693,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,57389707.75,74394065.6,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,OUT,K-ST1-05-GB,FALSE,TRUE,FALSE,H,FALSE,0.167,1.2,NA,1.4,9.72,U,NA,NA,NA,NA,NA,NA,1270,1403.333,45547.39,GB3,Ruler,Gated Pipe,60 V Trap,7606.414,54656.865,#VALUE!,63766.342,442720.603,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,57845181.62,63918166.56,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,1,ST,OUT,K-ST1-05-GBH,FALSE,TRUE,FALSE,H,FALSE,0.153,0.724,NA,1,8.87,U,NA,NA,NA,NA,NA,NA,1290,1130,45547.39,GBH,Ruler,Gated Pipe,60 V Trap,6968.75,32976.308,#VALUE!,45547.387,404005.324,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,58756129.36,51468547.42,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,OUT,K-CT2-05-LC,FALSE,TRUE,FALSE,H,FALSE,U,1.23,NA,1.7,8.59,U,NA,NA,NA,NA,NA,NA,1150,2403.333,56738.31,LC,Ruler,Gated Pipe,60 V Trap,#VALUE!,69788.117,#VALUE!,96455.122,487382.055,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,65249052.82,136361064,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,OUT,K-CT2-05-ISC,FALSE,TRUE,FALSE,H,FALSE,0.24,1.09,NA,0.64,9.55,U,NA,NA,NA,NA,NA,NA,1210,3236.667,56738.31,ISC,Ruler,Gated Pipe,60 V Trap,13617.194,61844.754,#VALUE!,36312.516,541850.83,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,68653351.23,183642986.3,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,OUT,K-CT2-05-GB,FALSE,TRUE,FALSE,H,FALSE,0.256,1.13,NA,2.2,12,U,NA,NA,NA,NA,NA,NA,1230,2710,56738.31,GB3,Ruler,Gated Pipe,60 V Trap,14525.007,64114.287,#VALUE!,124824.275,680859.682,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,69788117.36,153760811.4,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,CT,OUT,K-CT2-05-GBH,FALSE,TRUE,FALSE,H,FALSE,0.248,0.979,NA,2,9.66,U,NA,NA,NA,NA,NA,NA,1250,1996.667,56738.31,GBH,Ruler,Gated Pipe,60 V Trap,14071.1,55546.802,#VALUE!,113476.614,548092.044,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,70922883.5,113287485.9,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,OUT,K-MT2-05-LC,FALSE,TRUE,FALSE,H,FALSE,0.274,1.14,NA,1.6,10.5,U,NA,NA,NA,NA,NA,NA,1220,2406.667,68568.81,LC,Ruler,Gated Pipe,60 V Trap,18787.854,78168.445,#VALUE!,109710.099,719972.522,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,83653950.15,165022273.3,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,OUT,K-MT2-05-ISC,FALSE,TRUE,FALSE,H,FALSE,0.2,0.916,NA,1.1,9.58,U,NA,NA,NA,NA,NA,NA,1220,866.667,68568.81,ISC,Ruler,Gated Pipe,60 V Trap,13713.762,62809.031,#VALUE!,75425.693,656889.215,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,83653950.15,59426303.39,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,OUT,K-MT2-05-GB,FALSE,TRUE,FALSE,H,FALSE,0.246,0.843,NA,2,11.9,U,NA,NA,NA,NA,NA,NA,1240,856.667,68568.81,GB3,Ruler,Gated Pipe,60 V Trap,16867.928,57803.508,#VALUE!,137137.623,815968.858,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,85025326.38,58740615.27,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
9/26/2023,2023,5,2,MT,OUT,K-MT2-05-GBH,FALSE,TRUE,FALSE,H,FALSE,0.213,1.76,NA,1.8,9.43,U,NA,NA,NA,NA,NA,NA,2100,686.667,68568.81,GBH,Ruler,Gated Pipe,60 V Trap,14605.157,120681.108,#VALUE!,123423.861,646603.893,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,143994504.4,47083917.3,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Houston, no note about subcontracting TKN","Method: E300, Method: SM4500P E: ""Sample holding time expired prior to sample receipt. It was analyzed at the request of the client. Results should be considered  estimated."""
